scenario,total_cost,success
492,40598.6324582815,1
493,40603.4882514754,1
494,40521.58594145207,1
495,40637.18015798971,1
496,40533.2688851627,1
497,40590.3863254606,1
498,40864.62960691808,1
499,40693.882418742825,1
500,40725.50460634267,1
501,40577.77212822575,1
502,40859.4906047029,1
503,40948.71905105022,1
504,40443.33884778372,1
505,40802.10081916321,1
506,40859.4906047029,1
507,40634.09055295672,1
508,40812.33926894089,1
509,40655.721624871396,1
510,39675.52862936732,1
511,40380.72360940073,1
512,40756.91180185073,1
513,40435.18161577297,1
514,40753.313592271894,1
515,40875.06328174407,1
516,40493.70062563772,1
517,40414.655857104255,1
518,40199.91680380364,1
519,40608.87581507384,1
520,40287.348665076715,1
521,40519.671549884784,1
522,40542.43346064593,1
523,40547.9266496465,1
524,40474.80069984375,1
525,40708.13398858859,1
526,40445.10677565779,1
527,40832.85331650819,1
528,40821.32752205828,1
529,41069.28094961201,1
530,40313.65316313893,1
531,40699.08719280278,1
532,40720.63277035239,1
533,40479.54176015105,1
534,40479.54176015105,1
535,40645.829094480956,1
536,40615.5342309696,1
537,39675.68341025517,1
538,40617.787304391495,1
539,40648.09427432122,1
540,39675.58142148854,1
541,40236.751216116485,1
542,40571.7572724789,1
543,39706.51869781723,1
544,40552.81017459042,1
545,40503.487920562,1
546,40262.555932201205,1
547,40322.1473605163,1
548,40357.140322394866,1
549,40233.967102834984,1
550,40197.54106983718,1
551,40443.880590012,1
552,40272.60006666639,1
553,40352.580444704814,1
554,40418.89617605949,1
555,40589.99424914914,1
556,40829.91708255242,1
557,39698.61050331622,1
558,39889.82021597322,1
559,39675.55795701979,1
560,40445.520483258784,1
561,40581.92355037611,1
562,40299.56480635965,1
563,40243.50819089779,1
564,40667.6734002276,1
565,40408.34252342427,1
566,40344.530534753496,1
567,40393.64219474187,1
568,40458.897749803684,1
569,39901.446311992644,1
570,40061.71851068339,1
571,40415.52062841051,1
572,40660.71635185324,1
573,40435.50001966492,1
574,40520.67198902188,1
575,40454.16596096458,1
576,40389.95927292834,1
577,40650.71774558084,1
578,40371.92216093107,1
579,40434.31108666314,1
580,39675.603267066006,1
581,40345.49349300057,1
582,40777.40434978312,1
583,40776.93547363431,1
584,39675.55292141817,1
585,40902.31416416866,1
586,40713.40362357255,1
587,40705.65408823708,1
588,40821.660731356606,1
589,40534.56332103999,1
590,40696.98561098044,1
591,40827.71279302686,1
592,40761.1960138828,1
593,40638.84431711664,1
594,40962.965052978754,1
595,39675.540141315505,1
596,40103.51372118772,1
597,39875.13500364437,1
598,40621.2504635519,1
599,40669.27453388398,1
600,40669.27453388398,1
601,40684.71445593807,1
602,40461.343604097776,1
603,40856.27983659272,1
604,40767.79828607773,1
605,40355.53258516338,1
606,39675.53009854939,1
607,40693.91568634994,1
608,40546.90080892623,1
609,40563.82848268206,1
610,40642.63442617652,1
611,40608.47844581133,1
612,40636.489298476125,1
613,40656.37939992899,1
614,40674.61159338244,1
615,40160.96268504116,1
616,40504.113240329,1
617,40737.35185032358,1
618,40675.784541536384,1
619,40010.42789695814,1
620,40783.904105842936,1
621,40643.357596104746,1
622,40588.7267618999,1
623,39675.575533023635,1
624,40731.60350717919,1
625,40861.91162886815,1
626,40734.19976177715,1
627,39675.56619408248,1
628,40820.65201960396,1
629,40716.905761878836,1
630,40736.87829844131,1
631,40295.41315845492,1
632,39675.66091871061,1
633,40574.880802039,1
634,40695.84672052855,1
635,41079.04143441249,1
636,40105.462723132994,1
637,39675.66577470288,1
638,40658.72774521575,1
639,40626.43909786677,1
640,40638.17304150746,1
641,40742.31596066484,1
642,40396.728061120026,1
643,40939.71214230857,1
644,40301.592222979605,1
645,40792.55725588254,1
646,40620.12355225912,1
647,40399.57146397989,1
648,40657.96930687045,1
649,40756.77122603798,1
650,40557.38478890854,1
651,40577.64823677033,1
652,40577.64823677033,1
653,40441.06332483216,1
654,39675.632759271364,1
655,40636.87729969521,1
656,40620.73945561382,1
657,40788.23167054224,1
658,40466.83497077309,1
659,40551.45084512422,1
660,39675.52152065368,1
661,40728.189762436145,1
662,40573.49630144689,1
663,40572.15278059386,1
664,39675.50532124633,1
665,40106.99189756027,1
666,40562.25975216882,1
667,40427.17498855146,1
668,40795.14684546046,1
669,40755.22090914784,1
670,40721.773109571724,1
671,40512.10697123323,1
672,40704.04938171128,1
673,40509.44430286486,1
674,40657.33271467151,1
675,40423.59987932185,1
676,40460.82911484239,1
677,40459.19125137061,1
678,40679.96973652079,1
679,40448.991912048994,1
680,39675.55655276928,1
681,40725.831814817066,1
682,40461.69217085837,1
683,39675.675966796894,1
684,40655.047930731,1
685,40258.92097330659,1
686,39675.56130280502,1
687,41096.33943158042,1
688,40774.61716489443,1
689,40341.9965158052,1
690,40119.982162626424,1
691,39675.64148176553,1
692,39675.66859243344,1
693,39949.704476691055,1
694,40894.10883639851,1
695,40590.33723509467,1
696,40858.75495410739,1
697,40552.45937224974,1
698,40008.37515057591,1
699,39782.66719241669,1
700,40533.848504508154,1
701,40075.49567754303,1
702,40081.86547927876,1
703,40765.847745846506,1
704,40357.11882008543,1
705,39675.53890349466,1
706,39675.54714527694,1
707,40551.819401444925,1
708,40735.65899404823,1
709,40079.66621508448,1
710,40883.994830712414,1
711,39675.484550689835,1
712,40359.57158654402,1
713,40742.059680868486,1
714,40840.860799348695,1
715,40164.63689384455,1
716,40199.07598152491,1
717,40743.44772235598,1
718,40246.97899641397,1
719,40489.93078124445,1
720,40613.84136891834,1
721,39675.645310568725,1
722,40232.050022589356,1
723,40811.7025634424,1
724,40595.35599507363,1
725,40298.926290551564,1
726,40686.763994108165,1
727,40571.28936034427,1
728,40604.12048249517,1
729,40402.66950309877,1
730,39887.339345842505,1
731,40503.37037382545,1
732,40802.92556782085,1
733,40611.29726764192,1
734,40644.70401201992,1
735,40719.51840240606,1
736,40689.201630326184,1
737,40559.72819577421,1
738,40734.546832138156,1
739,39675.67289668943,1
740,40697.095119506965,1
741,41011.08521247571,1
742,40644.676880001265,1
743,40916.09930417097,1
744,40916.09930417097,1
745,40621.621844644906,1
746,40597.659102427795,1
747,40256.14447079968,1
748,40565.1354067596,1
749,40824.293502638524,1
750,40608.09614928659,1
751,40669.035972831756,1
752,40318.7668666295,1
753,40335.533192849434,1
754,39675.550067585384,1
755,40559.44198252704,1
756,40559.44198252704,1
757,40527.23322713203,1
758,40565.96562687709,1
759,40405.85898856579,1
760,40471.449681692175,1
761,40553.99551581607,1
762,40784.228357945176,1
763,40690.99595401087,1
764,40456.09710810229,1
765,40545.654230612614,1
766,40275.27719193463,1
767,39675.58769018211,1
768,40796.9492320506,1
769,40253.94360066505,1
770,40874.52778639967,1
771,40613.967497530626,1
772,40923.08337654509,1
773,40330.642391418056,1
774,40594.17203252548,1
775,40363.96112216157,1
776,40584.5159493177,1
777,40559.03074908908,1
778,40349.50936292292,1
779,39861.41002516846,1
780,40622.44576403473,1
781,40658.758298211425,1
782,40694.10869242832,1
783,40689.17473182645,1
784,40632.76423802695,1
785,40632.76423802695,1
786,40715.197511747596,1
787,40827.7062260572,1
788,40309.532220555855,1
789,39947.968784686425,1
790,40676.79801582329,1
791,40457.23416059384,1
792,40698.91042858549,1
793,40409.39393450346,1
794,40282.69130755943,1
795,40556.381396440374,1
796,40925.96839619,1
797,40817.333155031876,1
798,40596.98225101664,1
799,40471.83060243401,1
800,40570.08140400939,1
801,40413.91378768836,1
802,40741.2678151206,1
803,40597.271672013834,1
804,40227.70586995008,1
805,40225.349666548755,1
806,40325.65215410679,1
807,40426.5761083906,1
808,40440.79164474523,1
809,40457.99361630895,1
810,40300.07225148683,1
811,40441.69327546554,1
812,40166.40482995128,1
813,40544.600206743184,1
814,40332.55381028823,1
815,40554.17687445592,1
816,40340.00527346841,1
817,40380.95696949797,1
818,40228.68269792419,1
819,40556.03395436353,1
820,40464.70332313548,1
821,40045.2214421521,1
822,40464.70332313548,1
823,40493.48527848981,1
824,40541.17724829931,1
825,40230.27454100681,1
826,40178.695094112685,1
827,40506.614333320846,1
828,40277.459429259856,1
829,40725.880358417155,1
830,40458.47924424661,1
831,40715.95608821094,1
832,40715.95608821095,1
833,40483.579318246986,1
834,40818.87329834335,1
835,40903.685438549124,1
836,40245.397451559315,1
837,40019.79810622747,1
838,40833.42995651728,1
839,40828.7444743497,1
840,40802.220742751386,1
841,40783.95778112429,1
842,41032.35644321268,1
843,39901.67542874562,1
844,40748.584638993736,1
845,40782.59192927746,1
846,40488.84052906596,1
847,40583.421137320816,1
848,40776.004353878445,1
849,40610.37456117434,1
850,40606.676011505515,1
851,40446.071160492196,1
852,40738.70499471331,1
853,40270.4662004362,1
854,40397.360692521484,1
855,40584.01954504541,1
856,40270.4662004362,1
857,40051.054017438524,1
858,40429.245635524116,1
859,40545.54393641104,1
860,40419.959495919466,1
861,40114.17858938001,1
862,40647.961786358406,1
863,40300.75787899088,1
864,40124.90094135963,1
865,40472.33467026145,1
866,40192.54067965249,1
867,40418.998492585284,1
868,40306.84766244013,1
869,39768.11946725848,1
870,40430.13157072756,1
871,39872.66382631531,1
872,40686.38105054375,1
873,40406.832586268,1
874,40406.832586268,1
875,40266.54991616477,1
876,40582.74253043096,1
877,40365.702871331865,1
878,40206.69360699858,1
879,40118.85658234197,1
880,40201.298995325975,1
881,40069.2638500317,1
882,40711.24879705924,1
883,40485.39890536491,1
884,40115.49788955257,1
885,40437.55280410041,1
886,40501.35614415767,1
887,40546.11592028734,1
888,39675.5498470596,1
