scenario,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20,p21,p22,p23,p24,p25,p26,p27,p28,p29,p30,p31,p32,p33
10,18.075126257319653,18.075126257319653,63.90861732474348,0.0,7.380303017567165,106.54130352802225,255.63446929897393,255.63446929897393,30.751262573196527,106.54130352802225,18.075126257319653,46.741919111258724,46.741919111258724,18.075126257319653,46.741919111258724,46.741919111258724,63.90861732474348,63.90861732474348,135.4040402342289,135.4040402342289,7.380303017567165,7.380303017567165,7.380303017567165,7.380303017567165,106.54130352802225,30.751262573196527,30.751262573196527,30.751262573196527,30.751262573196527,30.751262573196527,106.54130352802225,248.94412850928177,135.4040402342289
11,18.075126257319653,18.075126257319653,63.90861732474348,0.0,7.380303017567165,106.54130352802225,255.63446929897393,255.63446929897393,30.751262573196527,106.54130352802225,18.075126257319653,46.741919111258724,46.741919111258724,18.075126257319653,46.741919111258724,46.741919111258724,63.90861732474348,63.90861732474348,135.4040402342289,135.4040402342289,7.380303017567165,7.380303017567165,7.380303017567165,7.380303017567165,106.54130352802225,30.751262573196527,30.751262573196527,30.751262573196527,30.751262573196527,30.751262573196527,106.54130352802225,248.94412850928177,135.4040402342289
12,17.8160795515279,17.8160795515279,59.05149159114814,0.0,6.7585909236669615,100.0198027097149,236.20596636459257,236.20596636459257,28.16079551527901,100.0198027097149,17.8160795515279,42.804409183224095,42.804409183224095,17.8160795515279,42.804409183224095,42.804409183224095,59.05149159114814,59.05149159114814,127.11454564889283,127.11454564889283,6.7585909236669615,6.7585909236669615,6.7585909236669615,6.7585909236669615,100.0198027097149,28.16079551527901,28.16079551527901,28.16079551527901,28.16079551527901,28.16079551527901,100.0198027097149,350.0,165.8791336092726
13,17.75533649438627,17.75533649438627,57.91255926974256,0.0,6.6128075865270475,98.49059624617433,231.65023707897024,231.65023707897024,27.5533649438627,98.49059624617433,17.75533649438627,41.8811147146713,41.8811147146713,17.75533649438627,41.8811147146713,41.8811147146713,57.91255926974256,57.91255926974256,125.17076782036062,125.17076782036062,6.6128075865270475,6.6128075865270475,6.6128075865270475,6.6128075865270475,98.49059624617433,27.5533649438627,27.5533649438627,27.5533649438627,27.5533649438627,50.0,146.58251185394852,232.15516595527916,197.0
14,17.995721100285046,17.995721100285046,62.41977063034464,0.0,7.189730640684113,104.54227869967607,249.67908252137855,249.67908252137855,29.957211002850475,104.54227869967607,17.995721100285046,45.53496072433272,45.53496072433272,17.995721100285046,45.53496072433272,45.53496072433272,62.41977063034464,62.41977063034464,132.86307520912152,132.86307520912152,7.189730640684113,7.189730640684113,7.189730640684113,7.189730640684113,104.54227869967607,29.957211002850475,29.957211002850475,29.957211002850475,29.957211002850475,29.957211002850475,104.54227869967607,244.775357764965,132.86307520912152
15,17.75533649438627,17.75533649438627,57.91255926974256,0.0,6.6128075865270475,98.49059624617433,231.65023707897024,231.65023707897024,27.5533649438627,98.49059624617433,17.75533649438627,41.8811147146713,41.8811147146713,17.75533649438627,41.8811147146713,41.8811147146713,57.91255926974256,57.91255926974256,125.17076782036062,125.17076782036062,6.6128075865270475,6.6128075865270475,6.6128075865270475,6.6128075865270475,98.49059624617433,27.5533649438627,27.5533649438627,27.5533649438627,27.5533649438627,50.0,146.58251185394852,232.15516595527916,197.0
16,17.96269771156581,17.96269771156581,61.80058209185895,0.0,7.110474507757944,103.71091488866927,247.2023283674358,247.2023283674358,29.626977115658104,103.71091488866927,17.96269771156581,45.033005215800316,45.033005215800316,17.96269771156581,45.033005215800316,45.033005215800316,61.80058209185895,61.80058209185895,131.80632677010593,131.80632677010593,12.0,12.0,12.0,12.0,103.71091488866927,29.626977115658104,29.626977115658104,29.626977115658104,29.626977115658104,29.626977115658104,103.71091488866927,243.04162985720507,131.80632677010593
17,17.88124198419245,17.88124198419245,60.27328720360841,0.0,6.914980762061877,101.66026695204488,241.09314881443365,241.09314881443365,28.812419841924484,101.66026695204488,17.88124198419245,43.794878159725215,43.794878159725215,17.88124198419245,43.794878159725215,43.794878159725215,60.27328720360841,60.27328720360841,129.19974349415835,129.19974349415835,6.914980762061877,6.914980762061877,6.914980762061877,6.914980762061877,101.66026695204488,28.812419841924484,28.812419841924484,28.812419841924484,28.812419841924484,28.812419841924484,101.66026695204488,238.76520417010354,197.0
18,17.876752160971353,17.876752160971353,60.18910301821286,0.0,6.904205186331245,101.5472356524538,240.75641207285145,240.75641207285145,28.767521609713526,101.5472356524538,17.876752160971353,43.72663284676456,43.72663284676456,17.876752160971353,43.72663284676456,43.72663284676456,60.18910301821286,60.18910301821286,129.05606915108328,129.05606915108328,6.904205186331245,6.904205186331245,6.904205186331245,6.904205186331245,101.5472356524538,28.767521609713526,28.767521609713526,28.767521609713526,28.767521609713526,28.767521609713526,101.5472356524538,238.529488450996,185.32213688534245
19,20.0,20.0,100.0,0.0,12.0,155.0,400.0,400.0,50.0,155.0,20.0,76.0,76.0,20.0,76.0,76.0,100.0,100.0,197.0,197.0,12.0,12.0,12.0,12.0,155.0,50.0,50.0,50.0,50.0,50.0,155.0,350.0,197.0
20,20.0,20.0,55.46610980238048,0.0,6.299662054704701,95.20583009466284,221.86443920952192,221.86443920952192,26.248591894602924,95.20583009466284,17.62485918946029,39.89785967979644,39.89785967979644,17.62485918946029,39.89785967979644,39.89785967979644,55.46610980238048,55.46610980238048,120.99549406272934,120.99549406272934,6.299662054704701,6.299662054704701,6.299662054704701,6.299662054704701,95.20583009466284,26.248591894602924,26.248591894602924,26.248591894602924,26.248591894602924,26.248591894602924,95.20583009466284,350.0,197.0
21,17.96746621839178,20.0,61.889991594845895,0.0,7.426798991381508,103.8309620480131,247.55996637938358,247.55996637938358,29.674662183917814,103.8309620480131,17.96746621839178,45.10548651955507,45.10548651955507,17.96746621839178,45.10548651955507,45.10548651955507,61.889991594845895,61.889991594845895,131.958918988537,131.958918988537,7.17273226868048,7.17273226868048,7.17273226868048,7.17273226868048,103.8309620480131,29.674662183917814,29.674662183917814,29.674662183917814,29.674662183917814,29.674662183917814,103.8309620480131,243.29197646556852,131.958918988537
22,17.051,17.051,65.768,0.0,8.0,65.0,180.0,180.0,35.0,65.0,17.051,50.0,50.0,17.051,50.0,50.0,65.768,65.768,150.0,150.0,8.0,8.0,8.0,8.0,65.0,35.0,35.0,35.0,35.0,50.0,155.0,300.0,180.0
23,17.554089780946327,17.554089780946327,54.139183392743604,0.0,6.129815474271181,93.42421023532376,216.55673357097442,216.55673357097442,25.54089780946326,93.42421023532376,17.554089780946327,38.822164670384154,38.822164670384154,17.554089780946327,38.822164670384154,38.822164670384154,54.139183392743604,54.139183392743604,118.73087299028242,118.73087299028242,12.0,12.0,12.0,12.0,93.42421023532376,25.54089780946326,25.54089780946326,25.54089780946326,25.54089780946326,25.54089780946326,93.42421023532376,350.0,197.0
24,20.0,20.0,100.0,0.0,12.0,155.0,400.0,400.0,50.0,155.0,20.0,76.0,76.0,20.0,76.0,76.0,100.0,100.0,197.0,197.0,12.0,12.0,12.0,12.0,155.0,50.0,50.0,50.0,50.0,50.0,155.0,350.0,197.0
25,20.0,20.0,100.0,0.0,12.0,155.0,400.0,400.0,50.0,155.0,20.0,76.0,76.0,20.0,76.0,76.0,100.0,100.0,197.0,197.0,12.0,12.0,12.0,12.0,155.0,50.0,50.0,50.0,50.0,50.0,155.0,350.0,197.0
26,17.82743248674437,17.82743248674437,59.26435912645697,0.0,6.785837968186492,100.30561285378954,237.05743650582787,237.05743650582787,28.274324867443717,100.30561285378954,17.82743248674437,42.97697379851444,42.97697379851444,17.82743248674437,42.97697379851444,42.97697379851444,59.26435912645697,59.26435912645697,127.47783957581989,127.47783957581989,6.785837968186492,6.785837968186492,6.785837968186492,6.785837968186492,100.30561285378954,28.274324867443717,28.274324867443717,28.274324867443717,28.274324867443717,50.0,146.8528718252914,235.9402055540795,127.47783957581989
27,17.942709707688326,17.942709707688326,61.425807019156146,0.0,7.062503298451986,103.20771689105365,245.70322807662458,245.70322807662458,29.427097076883282,103.20771689105365,17.942709707688326,44.729187556862584,44.729187556862584,17.942709707688326,44.729187556862584,44.729187556862584,61.425807019156146,61.425807019156146,131.1667106460265,131.1667106460265,7.062503298451986,7.062503298451986,7.062503298451986,7.062503298451986,103.20771689105365,29.427097076883282,29.427097076883282,29.427097076883282,29.427097076883282,29.427097076883282,103.20771689105365,241.99225965363723,131.1667106460265
28,17.9719434690948,17.9719434690948,61.973940045527506,0.0,7.13266432582752,103.9436768344616,247.89576018211002,247.89576018211002,29.719434690948006,103.9436768344616,17.9719434690948,45.173540730240966,45.173540730240966,17.9719434690948,45.173540730240966,45.173540730240966,61.973940045527506,61.973940045527506,132.1021910110336,132.1021910110336,7.13266432582752,7.13266432582752,7.13266432582752,7.13266432582752,103.9436768344616,29.719434690948006,29.719434690948006,29.719434690948006,29.719434690948006,29.719434690948006,103.9436768344616,243.527032127477,132.1021910110336
29,19.0,19.0,85.0,0.0,9.0,145.0,370.0,370.0,42.0,145.0,19.0,73.0,73.0,19.0,73.0,73.0,97.0,97.0,190.0,190.0,12.0,12.0,12.0,12.0,152.0,47.0,47.0,47.0,47.0,47.0,152.0,335.0,192.0
30,17.616832380101975,17.616832380101975,61.869318081631604,0.0,5.32713066428553,93.03764188265136,218.87926088775012,218.87926088775012,26.168323801019753,93.03764188265136,17.616832380101975,46.448721513264495,46.448721513264495,17.616832380101975,46.448721513264495,46.448721513264495,61.869318081631604,61.869318081631604,133.13110778673294,133.13110778673294,5.32713066428553,5.32713066428553,5.32713066428553,5.32713066428553,93.03764188265136,26.168323801019753,26.168323801019753,26.168323801019753,26.168323801019753,45.23366476020395,150.23366476020394,245.1406247244869,180.79446018469343
31,17.745758024813767,17.745758024813767,57.73296296525813,0.0,6.589819259553041,98.24945827468657,230.93185186103253,230.93185186103253,27.45758024813767,98.24945827468657,17.745758024813767,41.735521977169256,41.735521977169256,17.745758024813767,41.735521977169256,41.735521977169256,57.73296296525813,57.73296296525813,124.86425679404054,124.86425679404054,6.589819259553041,6.589819259553041,6.589819259553041,6.589819259553041,98.24945827468657,27.45758024813767,27.45758024813767,27.45758024813767,27.45758024813767,50.0,146.54659259305163,231.6522963027228,187.98303209925507
32,16.0,16.0,25.0,0.0,12.0,54.3,100.0,100.0,50.0,54.3,20.0,76.0,76.0,16.0,76.0,76.0,100.0,100.0,197.0,197.0,12.0,12.0,12.0,12.0,154.0,50.0,50.0,50.0,50.0,50.0,154.0,350.0,197.0
33,17.716290819748796,17.716290819748796,57.18045287028995,0.0,6.519097967397114,97.50762138717597,228.7218114811598,228.7218114811598,27.162908197487976,97.50762138717597,17.716290819748796,41.28762046018172,41.28762046018172,17.716290819748796,41.28762046018172,41.28762046018172,57.18045287028995,57.18045287028995,123.92130623196152,123.92130623196152,6.519097967397114,6.519097967397114,6.519097967397114,6.519097967397114,97.50762138717597,27.162908197487976,27.162908197487976,27.162908197487976,27.162908197487976,50.0,146.436090574058,230.10526803681188,197.0
34,17.716290819748796,17.716290819748796,57.18045287028995,0.0,6.519097967397114,97.50762138717597,228.7218114811598,228.7218114811598,27.162908197487976,97.50762138717597,17.716290819748796,41.28762046018172,41.28762046018172,17.716290819748796,41.28762046018172,41.28762046018172,57.18045287028995,57.18045287028995,123.92130623196152,123.92130623196152,6.519097967397114,6.519097967397114,6.519097967397114,6.519097967397114,97.50762138717597,27.162908197487976,27.162908197487976,27.162908197487976,27.162908197487976,50.0,146.436090574058,230.10526803681188,197.0
35,18.354655984678008,18.354655984678008,59.41484762205753,0.0,7.063967954034024,100.15519948926693,236.56249447801548,236.56249447801548,30.804319821243425,100.15519948926693,18.354655984678008,44.19001570377482,43.64156769866749,18.354655984678008,43.64156769866749,43.64156769866749,59.41484762205753,59.41484762205753,127.34710335136901,127.34710335136901,7.063967954034024,7.063967954034024,7.063967954034024,7.063967954034024,100.70364749437427,29.158975805921436,29.158975805921436,29.158975805921436,29.158975805921436,50.0,146.77327992339005,234.82591892746058,127.34710335136901
36,17.839855999201642,17.839855999201642,59.497299985030786,0.0,6.8156543980839395,100.61837477990133,237.98919994012314,237.98919994012314,28.398559992016416,100.61837477990133,17.839855999201642,43.165811187864946,43.165811187864946,17.839855999201642,43.165811187864946,43.165811187864946,59.497299985030786,59.497299985030786,127.87539197445253,127.87539197445253,6.8156543980839395,6.8156543980839395,6.8156543980839395,6.8156543980839395,100.61837477990133,28.398559992016416,28.398559992016416,28.398559992016416,28.398559992016416,50.0,146.89945999700615,236.59243995808617,131.65564397584967
37,17.846596518974113,17.846596518974113,59.62368473076465,0.0,6.831831645537875,100.78806736517333,238.4947389230586,238.4947389230586,28.465965189741148,100.78806736517333,17.846596518974113,43.26826708840654,43.26826708840654,17.846596518974113,43.26826708840654,43.26826708840654,59.62368473076465,59.62368473076465,128.09108860717166,128.09108860717166,6.831831645537875,6.831831645537875,6.831831645537875,6.831831645537875,100.78806736517333,28.465965189741148,28.465965189741148,28.465965189741148,28.465965189741148,50.0,146.92473694615293,236.946317246141,128.09108860717166
38,17.983575493830227,17.983575493830227,62.192040509316776,0.0,7.160581185192546,104.23651305717598,248.7681620372671,248.7681620372671,29.83575493830228,104.23651305717598,17.983575493830227,45.350347506219464,45.350347506219464,17.983575493830227,45.350347506219464,45.350347506219464,62.192040509316776,62.192040509316776,132.4744158025673,132.4744158025673,12.0,12.0,12.0,12.0,104.23651305717598,29.83575493830228,29.83575493830228,29.83575493830228,29.83575493830228,29.83575493830228,104.23651305717598,244.13771342608698,132.4744158025673
39,17.778339264369464,17.778339264369464,58.34386120692745,0.0,6.668014234486714,99.06969098050126,233.3754448277098,233.3754448277098,27.783392643694643,99.06969098050126,17.778339264369464,42.230756818415855,42.230756818415855,17.778339264369464,42.230756818415855,42.230756818415855,58.34386120692745,58.34386120692745,125.90685645982285,125.90685645982285,6.668014234486714,6.668014234486714,6.668014234486714,6.668014234486714,99.06969098050126,27.783392643694643,27.783392643694643,27.783392643694643,27.783392643694643,50.0,146.66877224138548,233.36281137939687,197.0
40,17.736281814027326,17.736281814027326,62.271363567122094,0.0,5.963418170739535,102.17990899397094,249.08545426848838,249.08545426848838,27.362818140273255,102.17990899397094,17.736281814027326,56.38110905490349,56.38110905490349,17.736281814027326,56.38110905490349,56.38110905490349,62.271363567122094,62.271363567122094,123.80644532021687,123.80644532021687,5.963418170739535,5.963418170739535,5.963418170739535,5.963418170739535,102.17990899397094,27.362818140273255,27.362818140273255,27.362818140273255,27.362818140273255,27.362818140273255,102.17990899397094,236.8140907013663,161.53508175309477
41,18.01458430330407,18.01458430330407,62.77345568695127,0.0,7.235002327929761,105.0171598356799,251.0938227478051,251.0938227478051,30.145843033040673,105.0171598356799,18.01458430330407,45.82168141022183,45.82168141022183,18.01458430330407,45.82168141022183,45.82168141022183,62.77345568695127,62.77345568695127,133.46669770573016,133.46669770573016,7.235002327929761,7.235002327929761,7.235002327929761,7.235002327929761,105.0171598356799,30.145843033040673,30.145843033040673,30.145843033040673,30.145843033040673,30.145843033040673,105.0171598356799,245.76567592346356,134.45940555407813
42,19.5,19.0,98.0,0.0,11.0,154.0,399.0,399.0,48.0,154.0,19.5,75.0,75.0,19.5,75.0,75.0,98.0,98.0,196.0,196.0,11.5,11.5,11.5,11.5,154.0,48.0,48.0,48.0,48.0,48.0,154.0,340.0,196.0
43,17.128851973127166,17.128851973127166,83.59343984644094,0.0,6.257703946254332,85.27211934737403,219.52783831085043,219.52783831085043,25.390159769661423,85.27211934737403,17.128851973127166,38.264911646814184,38.264911646814184,17.128851973127166,38.264911646814184,38.264911646814184,83.59343984644094,83.59343984644094,158.44458363913623,158.44458363913623,6.257703946254332,6.257703946254332,6.257703946254332,6.257703946254332,85.27211934737403,25.390159769661423,25.390159769661423,25.390159769661423,25.390159769661423,50.0,150.89835996161023,267.96719923220473,158.44458363913623
44,17.922821273153204,17.922821273153204,61.05289887162261,0.0,7.014771055567694,102.70702555163196,244.21159548649044,244.21159548649044,29.228212731532057,102.70702555163196,17.922821273153204,44.42688335192872,44.42688335192872,17.922821273153204,44.42688335192872,44.42688335192872,61.05289887162261,61.05289887162261,130.53028074090258,130.53028074090258,7.014771055567694,7.014771055567694,7.014771055567694,7.014771055567694,102.70702555163196,29.228212731532057,29.228212731532057,29.228212731532057,29.228212731532057,50.0,147.21057977432451,270.5479136981101,130.53028074090258
45,17.853100812884627,17.853100812884627,59.74564024158678,0.0,6.847441950923107,100.9518129643705,238.9825609663471,238.9825609663471,28.53100812884628,100.9518129643705,17.853100812884627,43.36713235584635,43.36713235584635,17.853100812884627,43.36713235584635,43.36713235584635,59.74564024158678,59.74564024158678,128.2992260123081,128.2992260123081,6.847441950923107,6.847441950923107,6.847441950923107,6.847441950923107,100.9518129643705,28.53100812884628,28.53100812884628,28.53100812884628,28.53100812884628,50.0,146.94912804831736,237.28779267644296,197.0
46,17.090662717043738,17.090662717043738,75.06282328894632,0.0,5.350086210385683,100.96945045938368,250.3769397336779,250.3769397336779,29.21901940745526,100.96945045938368,17.090662717043738,46.075387946735574,46.075387946735574,17.090662717043738,46.075387946735574,46.075387946735574,75.06282328894632,75.06282328894632,149.619364248998,149.619364248998,5.350086210385683,5.350086210385683,5.350086210385683,5.350086210385683,100.96945045938368,29.21901940745526,29.21901940745526,29.21901940745526,29.21901940745526,50.0,150.84380388149106,198.8532782366325,116.36979530092641
47,17.876193307531615,17.876193307531615,60.178624516217795,0.0,6.9028639380758765,101.53316651710843,240.71449806487118,240.71449806487118,28.761933075316154,101.53316651710843,17.876193307531615,43.71813827448056,43.71813827448056,17.876193307531615,43.71813827448056,43.71813827448056,60.178624516217795,60.178624516217795,129.0381858410117,129.0381858410117,6.9028639380758765,6.9028639380758765,6.9028639380758765,6.9028639380758765,101.53316651710843,28.761933075316154,28.761933075316154,28.761933075316154,28.761933075316154,50.0,147.03572490324356,238.5001486454098,184.78811151830678
48,19.0,19.0,99.0,0.0,11.0,154.0,290.0,290.0,45.0,150.0,19.0,69.0,69.0,19.0,69.0,69.0,98.0,98.0,192.0,192.0,11.0,11.0,11.0,11.0,154.0,48.0,48.0,48.0,48.0,48.0,154.0,340.0,192.0
49,17.796479216371903,17.796479216371903,58.6839853069732,0.0,6.7115501192925695,99.52636427216268,234.7359412278928,234.7359412278928,27.96479216371904,99.52636427216268,17.796479216371903,42.50648408885294,42.50648408885294,17.796479216371903,42.50648408885294,42.50648408885294,58.6839853069732,58.6839853069732,126.48733492390093,126.48733492390093,6.7115501192925695,6.7115501192925695,6.7115501192925695,6.7115501192925695,99.52636427216268,27.96479216371904,27.96479216371904,27.96479216371904,27.96479216371904,50.0,146.73679706139464,234.31515885952496,194.24559902046488
50,20.0,20.0,100.0,0.0,12.0,155.0,400.0,400.0,50.0,155.0,20.0,76.0,76.0,20.0,76.0,76.0,100.0,100.0,197.0,197.0,12.0,12.0,12.0,12.0,155.0,50.0,50.0,50.0,50.0,50.0,155.0,346.97,197.0
51,17.750433281560667,17.750433281560667,57.820624029262504,0.0,6.601039875745601,98.36715786328979,231.28249611705002,231.28249611705002,27.504332815606674,98.36715786328979,17.750433281560667,41.806585879722135,41.806585879722135,17.750433281560667,41.806585879722135,41.806585879722135,57.820624029262504,57.820624029262504,125.01386500994136,125.01386500994136,12.0,12.0,12.0,12.0,98.36715786328979,27.504332815606674,27.504332815606674,27.504332815606674,27.504332815606674,50.0,146.5641248058525,231.89774728193504,197.0
52,19.0,19.0,99.0,0.0,10.0,150.0,390.0,390.0,45.0,150.0,19.0,69.0,69.0,19.0,69.0,69.0,90.0,90.0,180.0,180.0,12.0,12.0,12.0,12.0,150.0,45.0,45.0,45.0,45.0,45.0,150.0,340.0,180.0
53,17.82342959675734,17.82342959675734,59.18930493920014,0.0,6.776231032217618,100.20484009836605,236.75721975680057,236.75721975680057,28.23429596757341,100.20484009836605,17.82342959675734,42.916129870711586,42.916129870711586,17.82342959675734,42.916129870711586,42.916129870711586,59.18930493920014,59.18930493920014,127.34974709623492,127.34974709623492,6.776231032217618,6.776231032217618,6.776231032217618,6.776231032217618,100.20484009836605,28.23429596757341,28.23429596757341,28.23429596757341,28.23429596757341,28.23429596757341,100.20484009836605,350.0,197.0
54,17.910171375698084,17.910171375698084,60.81571329433909,0.0,6.984411301675403,102.38856438319928,243.26285317735636,243.26285317735636,29.10171375698085,102.38856438319928,17.910171375698084,44.234604910610884,44.234604910610884,17.910171375698084,44.234604910610884,44.234604910610884,60.81571329433909,60.81571329433909,130.1254840223387,130.1254840223387,6.984411301675403,6.984411301675403,6.984411301675403,6.984411301675403,102.38856438319928,29.10171375698085,29.10171375698085,29.10171375698085,29.10171375698085,50.0,147.16314265886783,240.28399722414946,197.0
55,18.025629973655274,20.0,62.98056200603639,0.0,7.261511936772658,105.29523458677153,251.92224802414557,251.92224802414557,30.25629973655274,105.29523458677153,18.025629973655274,45.98957559956017,45.98957559956017,18.025629973655274,45.98957559956017,45.98957559956017,62.98056200603639,62.98056200603639,133.82015915696877,133.82015915696877,7.261511936772658,7.261511936772658,7.261511936772658,7.261511936772658,105.29523458677153,30.25629973655274,30.25629973655274,30.25629973655274,30.25629973655274,30.25629973655274,105.29523458677153,259.1789787881426,183.17940981558692
56,17.539757991433678,17.539757991433678,76.19120636871303,0.0,5.254175137802025,87.54175137802025,201.5933864059419,201.5933864059419,30.159338640594193,87.54175137802025,17.539757991433678,43.461315370574475,43.461315370574475,17.539757991433678,43.461315370574475,43.461315370574475,76.19120636871303,76.19120636871303,159.69955664431708,159.69955664431708,5.254175137802025,5.254175137802025,5.254175137802025,5.254175137802025,87.54175137802025,30.159338640594193,30.159338640594193,30.159338640594193,30.159338640594193,30.159338640594193,87.54175137802025,350.0,197.0
57,17.993115257476234,17.993115257476234,62.37091107767935,0.0,7.183476617942958,104.47667660696415,249.4836443107174,249.4836443107174,29.931152574762326,104.47667660696415,17.993115257476234,45.49535191363873,45.49535191363873,17.993115257476234,45.49535191363873,45.49535191363873,62.37091107767935,62.37091107767935,132.77968823923945,132.77968823923945,7.183476617942958,7.183476617942958,7.183476617942958,7.183476617942958,104.47667660696415,29.931152574762326,29.931152574762326,29.931152574762326,29.931152574762326,50.0,147.47418221553588,244.6385510175022,152.8485356644771
58,17.909625512597447,17.909625512597447,60.805478361202155,0.0,6.983101230233876,102.37482227964077,243.22191344480862,243.22191344480862,29.096255125974487,102.37482227964077,17.909625512597447,44.22630779148122,44.22630779148122,17.909625512597447,44.22630779148122,44.22630779148122,60.805478361202155,60.805478361202155,130.10801640311834,130.10801640311834,6.983101230233876,6.983101230233876,6.983101230233876,6.983101230233876,102.37482227964077,29.096255125974487,29.096255125974487,29.096255125974487,29.096255125974487,50.0,147.16109567224044,240.25533941136604,197.0
